# index, name, student, _pos
0,url-student-wisconsin-00622,student,"array([-19.1889635 ,  41.43104223])"
1,url-student-wisconsin-00637,student,"array([-19.09694802,  41.42598842])"
2,url-student-wisconsin-00593,student,"array([-19.10731894,  41.48570895])"
3,url-student-wisconsin-00681,student,"array([-19.14549589,  41.48334018])"
4,url-student-wisconsin-00701,student,"array([-19.08910776,  41.4154894 ])"
5,url-student-wisconsin-00616,student,"array([-19.13674571,  41.47560573])"
6,url-student-wisconsin-00597,student,"array([-19.14083552,  41.41753736])"
7,url-student-wisconsin-00595,student,"array([-19.16600011,  41.40946137])"
8,url-student-wisconsin-00713,student,"array([-19.17235397,  41.53590455])"
9,url-student-wisconsin-00669,student,"array([-19.12072567,  41.42688539])"
10,url-student-wisconsin-00711,student,"array([-19.14819276,  41.50998087])"
11,url-student-wisconsin-00627,student,"array([-19.14812556,  41.47345206])"
12,url-project-wisconsin-00451,project,"array([-19.30976064,  41.33682503])"
13,url-student-wisconsin-00575,student,"array([-19.10843159,  41.46577244])"
14,url-student-wisconsin-00664,student,"array([-19.15329166,  41.46314417])"
15,url-student-wisconsin-00639,student,"array([-19.05843032,  41.48603834])"
16,url-staff-wisconsin-00548,staff,"array([-19.11224689,  41.4524023 ])"
17,url-student-wisconsin-00649,student,"array([-19.0770225 ,  41.41863462])"
18,url-student-wisconsin-00710,student,"array([-19.1151634 ,  41.52507897])"
19,url-student-wisconsin-00605,student,"array([-19.12746472,  41.51733107])"
20,url-project-wisconsin-00454,project,"array([-19.36846178,  41.37308523])"
21,url-student-wisconsin-00647,student,"array([-19.15718361,  41.4779208 ])"
22,url-student-wisconsin-00683,student,"array([-19.1543926,  41.4898902])"
23,url-student-wisconsin-00613,student,"array([-19.04512619,  41.49269155])"
24,url-student-wisconsin-00642,student,"array([-19.10722671,  41.42990715])"
25,url-student-wisconsin-00625,student,"array([-19.04923096,  41.43450153])"
26,url-student-wisconsin-00663,student,"array([-19.19879568,  41.4520653 ])"
27,url-student-wisconsin-00666,student,"array([-19.13449601,  41.53558215])"
28,url-student-wisconsin-00703,student,"array([-19.11608475,  41.53580345])"
29,url-student-wisconsin-00583,student,"array([-19.08257454,  41.50582954])"
30,url-student-wisconsin-00696,student,"array([-19.08325832,  41.46318988])"
31,url-student-wisconsin-00629,student,"array([-19.13307915,  41.5593957 ])"
32,url-project-wisconsin-00456,project,"array([-19.37871883,  41.42540088])"
33,url-student-wisconsin-00670,student,"array([-19.06658373,  41.47411974])"
34,url-student-wisconsin-00656,student,"array([-19.05694457,  41.45970839])"
35,url-student-wisconsin-00718,student,"array([-19.09177782,  41.47752206])"
36,url-student-wisconsin-00603,student,"array([-19.0790713,  41.5172954])"
37,url-student-wisconsin-00722,student,"array([-19.17428694,  41.43082434])"
38,url-student-wisconsin-00577,student,"array([-19.15190968,  41.42321009])"
39,url-student-wisconsin-00705,student,"array([-19.17570328,  41.46173597])"
40,url-student-wisconsin-00607,student,"array([-19.13783983,  41.49299732])"
41,url-student-wisconsin-00601,student,"array([-19.09146405,  41.51996608])"
42,url-student-wisconsin-00706,student,"array([-19.13034033,  41.42492251])"
43,url-student-wisconsin-00617,student,"array([-19.07698418,  41.49629138])"
44,url-student-wisconsin-00630,student,"array([-19.09581455,  41.4359241 ])"
45,url-student-wisconsin-00634,student,"array([-19.09443351,  41.53086445])"
46,url-student-wisconsin-00570,student,"array([-19.16527303,  41.48799895])"
47,url-student-wisconsin-00609,,"array([-19.11999667,  41.39335036])"
48,url-student-wisconsin-00716,student,"array([-19.14593462,  41.53439491])"
49,url-student-wisconsin-00708,student,"array([-19.13343547,  41.3933471 ])"
50,url-student-wisconsin-00695,student,"array([-19.11909206,  41.43781499])"
51,url-student-wisconsin-00684,student,"array([-19.09204667,  41.49679486])"
52,url-project-wisconsin-00452,project,"array([-19.33442271,  41.38650833])"
53,url-student-wisconsin-00582,student,"array([-19.05474386,  41.50115271])"
54,url-student-wisconsin-00698,student,"array([-19.1250005,  41.5053281])"
55,url-student-wisconsin-00689,student,"array([-19.12450897,  41.41542524])"
56,url-student-wisconsin-00587,student,"array([-19.16334014,  41.50090116])"
57,url-student-wisconsin-00677,student,"array([-19.18811214,  41.48105874])"
58,url-student-wisconsin-00660,student,"array([-19.06211795,  41.52451768])"
59,url-student-wisconsin-00602,student,"array([-19.10542768,  41.47417908])"
60,url-student-wisconsin-00674,student,"array([-19.06012682,  41.4264683 ])"
61,url-student-wisconsin-00640,student,"array([-19.17140892,  41.45294906])"
62,url-student-wisconsin-00612,student,"array([-19.09531896,  41.48808811])"
63,url-student-wisconsin-00657,student,"array([-19.18716397,  41.44340749])"
64,url-student-wisconsin-00680,student,"array([-19.16548044,  41.46834429])"
65,url-student-wisconsin-00624,student,"array([-19.16036461,  41.53602404])"
66,url-student-wisconsin-00615,student,"array([-19.1654479 ,  41.52360946])"
67,url-student-wisconsin-00651,student,"array([-19.14548166,  41.44136748])"
68,url-student-wisconsin-00599,student,"array([-19.1637429 ,  41.42314158])"
69,url-student-wisconsin-00621,student,"array([-19.1527852 ,  41.41392753])"
70,url-student-wisconsin-00719,student,"array([-19.19690934,  41.51677001])"
71,url-student-wisconsin-00572,student,"array([-19.10374703,  41.51842423])"
72,url-student-wisconsin-00626,student,"array([-19.13872526,  41.46182436])"
73,url-student-wisconsin-00714,student,"array([-19.13063777,  41.43689127])"
74,url-student-wisconsin-00632,student,"array([-19.1284743 ,  41.49463466])"
75,url-student-wisconsin-00619,student,"array([-19.1008896 ,  41.44735683])"
76,url-student-wisconsin-00648,student,"array([-19.1817584 ,  41.47391429])"
77,url-student-wisconsin-00720,student,"array([-19.0908797,  41.4034594])"
78,url-student-wisconsin-00679,student,"array([-19.07478175,  41.44129431])"
79,url-student-wisconsin-00628,student,"array([-19.18270713,  41.51057465])"
80,url-student-wisconsin-00571,student,"array([-19.08501804,  41.44026851])"
81,url-student-wisconsin-00655,student,"array([-19.08952833,  41.45234317])"
82,url-student-wisconsin-00590,student,"array([-19.12961124,  41.45666083])"
83,url-student-wisconsin-00665,student,"array([-19.10074003,  41.5448693 ])"
84,url-student-wisconsin-00659,student,"array([-19.17758296,  41.44257518])"
85,url-student-wisconsin-00700,student,"array([-19.08001952,  41.40640888])"
86,url-student-wisconsin-00591,student,"array([-19.06994091,  41.51333701])"
87,url-student-wisconsin-00675,student,"array([-19.11320347,  41.55048734])"
88,url-student-wisconsin-00604,student,"array([-19.09939902,  41.45781241])"
89,url-student-wisconsin-00620,student,"array([-19.13571871,  41.5026666 ])"
90,url-student-wisconsin-00682,student,"array([-19.10406945,  41.49629086])"
91,url-faculty-wisconsin-00415,faculty,"array([-19.33024894,  41.52460235])"
92,url-student-wisconsin-00690,student,"array([-19.12890781,  41.48136475])"
93,url-student-wisconsin-00644,student,"array([-19.07333435,  41.48524942])"
94,url-student-wisconsin-00702,student,"array([-19.14108376,  41.54478123])"
95,url-student-wisconsin-00586,student,"array([-19.09498673,  41.50924002])"
96,url-project-wisconsin-00457,project,"array([-19.29500321,  41.52495689])"
97,url-student-wisconsin-00623,student,"array([-19.16293796,  41.45852321])"
98,url-student-wisconsin-00662,student,"array([-19.04521723,  41.47778309])"
99,url-student-wisconsin-00704,student,"array([-19.15545652,  41.43519765])"
100,url-student-wisconsin-00709,student,"array([-19.07906821,  41.45453144])"
101,url-student-wisconsin-00667,student,"array([-19.11752798,  41.48761136])"
102,url-student-wisconsin-00579,student,"array([-19.05468956,  41.51265007])"
103,url-student-wisconsin-00686,student,"array([-19.10508524,  41.39196981])"
104,url-project-wisconsin-00450,project,"array([-19.28034923,  41.38639889])"
105,url-student-wisconsin-00646,student,"array([-19.18047281,  41.52574623])"
106,url-student-wisconsin-00678,student,"array([-19.11952158,  41.40615817])"
107,url-student-wisconsin-00653,student,"array([-19.0642354 ,  41.41213655])"
108,url-student-wisconsin-00610,student,"array([-19.17285465,  41.51069326])"
109,url-student-wisconsin-00707,student,"array([-19.17476327,  41.50074429])"
110,url-student-wisconsin-00693,student,"array([-19.13715544,  41.51435542])"
111,url-student-wisconsin-00584,student,"array([-19.06552126,  41.45238793])"
112,url-student-wisconsin-00636,student,"array([-19.05635344,  41.47043363])"
113,url-student-wisconsin-00600,student,"array([-19.11722341,  41.47416215])"
114,url-student-wisconsin-00672,student,"array([-19.12307478,  41.44613567])"
115,url-student-wisconsin-00712,student,"array([-19.05177208,  41.44632237])"
116,url-student-wisconsin-00576,student,"array([-19.0699928 ,  41.52941321])"
117,url-student-wisconsin-00592,student,"array([-19.06170683,  41.43876048])"
118,url-student-wisconsin-00580,student,"array([-19.10482333,  41.40473351])"
119,url-student-wisconsin-00694,student,"array([-19.10734492,  41.5319045 ])"
120,url-student-wisconsin-00614,student,"array([-19.11437634,  41.51359749])"
121,url-student-wisconsin-00673,student,"array([-19.10257612,  41.41421901])"
122,url-student-wisconsin-00608,student,"array([-19.18153777,  41.41734704])"
123,url-student-wisconsin-00715,student,"array([-19.19996885,  41.49217925])"
124,url-student-wisconsin-00611,student,"array([-19.15940252,  41.51001521])"
125,url-student-wisconsin-00685,student,"array([-19.19340871,  41.46738153])"
126,url-student-wisconsin-00650,student,"array([-19.08312055,  41.48556227])"
127,url-student-wisconsin-00688,student,"array([-19.06764592,  41.49651732])"
128,url-student-wisconsin-00573,student,"array([-19.18511599,  41.45659511])"
129,url-student-wisconsin-00588,student,"array([-19.11509594,  41.49917261])"
130,url-student-wisconsin-00687,student,"array([-19.08528401,  41.42972868])"
131,url-student-wisconsin-00723,student,"array([-19.07676622,  41.54116381])"
132,url-student-wisconsin-00641,student,"array([-19.17132816,  41.47902492])"
133,url-student-wisconsin-00606,student,"array([-19.1084092 ,  41.44140076])"
134,url-project-wisconsin-00453,project,"array([-19.33886319,  41.34925471])"
135,url-student-wisconsin-00578,student,"array([-19.15564422,  41.44688475])"
136,url-student-wisconsin-00676,student,"array([-19.18583531,  41.49828039])"
137,url-student-wisconsin-00594,student,"array([-19.2008367 ,  41.47655146])"
138,url-course-wisconsin-00170,course,"array([-19.31607645,  41.50515064])"
139,url-department-wisconsin-01483,department,"array([-19.14863443,  41.4998019 ])"
140,url-student-wisconsin-00717,student,"array([-19.14595805,  41.45342282])"
141,url-student-wisconsin-00699,student,"array([-19.14000095,  41.52555814])"
142,url-student-wisconsin-00568,student,"array([-19.07225483,  41.43057337])"
143,url-student-wisconsin-00671,student,"array([-19.11228517,  41.41741545])"
144,url-student-wisconsin-00652,student,"array([-19.14309289,  41.40540582])"
145,url-student-wisconsin-00658,student,"array([-19.13183938,  41.40815944])"
146,url-student-wisconsin-00697,student,"array([-19.09063214,  41.5433064 ])"
147,url-student-wisconsin-00598,student,"array([-19.13629961,  41.44839889])"
148,url-student-wisconsin-00691,student,"array([-19.10523987,  41.50821648])"
149,url-project-wisconsin-00455,project,"array([-19.35779854,  41.4083417 ])"
150,url-department-wisconsin-01466,department,"array([-19.17345171,  41.56171088])"
151,url-student-wisconsin-00635,student,"array([-19.12696893,  41.52723596])"
152,url-student-wisconsin-00596,student,"array([-19.1776822 ,  41.48718071])"
153,url-student-wisconsin-00654,student,"array([-19.04320552,  41.45897268])"
154,url-student-wisconsin-00661,student,"array([-19.06843391,  41.46374401])"
155,url-student-wisconsin-00721,student,"array([-19.15276505,  41.52246384])"
156,url-student-wisconsin-00643,student,"array([-19.07981912,  41.47516131])"
157,url-student-wisconsin-00581,student,"array([-19.1421066 ,  41.42979069])"
158,url-student-wisconsin-00618,student,"array([-19.0845468 ,  41.52917037])"
159,url-student-wisconsin-00633,student,"array([-19.09344548,  41.46638213])"
160,url-student-wisconsin-00692,student,"array([-19.15510586,  41.39982094])"
161,url-student-wisconsin-00668,student,"array([-19.12713071,  41.46626698])"
162,url-student-wisconsin-00645,student,"array([-19.11918141,  41.46132921])"
163,url-student-wisconsin-00631,student,"array([-19.12610663,  41.54445616])"
164,url-student-wisconsin-00585,student,"array([-19.1644394 ,  41.44016053])"
165,url-course-wisconsin-00236,course,"array([-19.16196405,  41.64062277])"
166,url-course-wisconsin-00213,course,"array([-19.2045368 ,  41.74979784])"
167,url-faculty-wisconsin-00380,faculty,"array([-19.14254041,  41.60755337])"
168,url-course-wisconsin-00205,course,"array([-19.13915839,  41.67608789])"
169,url-course-wisconsin-00155,course,"array([-19.22238161,  41.61050321])"
170,url-department-wisconsin-01453,department,"array([-19.16031583,  41.59638301])"
171,url-course-wisconsin-00201,course,"array([-19.23663807,  41.60029332])"
172,url-course-wisconsin-00204,course,"array([-19.09860754,  41.67217338])"
173,url-staff-wisconsin-00542,staff,"array([-19.21300234,  41.54560263])"
174,url-course-wisconsin-00218,course,"array([-19.17893333,  41.757079  ])"
175,url-course-wisconsin-00206,course,"array([-19.22663511,  41.62976864])"
176,url-course-wisconsin-00193,course,"array([-19.21236146,  41.59552284])"
177,url-course-wisconsin-00216,course,"array([-19.17670433,  41.6706538 ])"
178,url-department-wisconsin-01460,department,"array([-19.17758222,  41.61028495])"
179,url-course-wisconsin-00239,course,"array([-19.21034022,  41.65659485])"
180,url-course-wisconsin-00226,course,"array([-19.15285756,  41.75427144])"
181,url-course-wisconsin-00225,course,"array([-19.14664662,  41.70785447])"
182,url-course-wisconsin-00211,course,"array([-19.22378798,  41.72421425])"
183,url-course-wisconsin-00232,course,"array([-19.1506936 ,  41.77654142])"
184,url-course-wisconsin-00234,course,"array([-19.19783031,  41.77660903])"
185,url-course-wisconsin-00214,course,"array([-19.18802006,  41.72851142])"
186,url-course-wisconsin-00210,course,"array([-19.13103963,  41.65449   ])"
187,url-course-wisconsin-00209,course,"array([-19.22326061,  41.75749278])"
188,url-course-wisconsin-00207,course,"array([-19.17601126,  41.63172819])"
189,url-course-wisconsin-00212,course,"array([-19.10737822,  41.65231684])"
190,url-course-wisconsin-00227,course,"array([-19.19823062,  41.67349785])"
191,url-course-wisconsin-00184,course,"array([-19.18942398,  41.5955098 ])"
192,url-faculty-wisconsin-00403,faculty,"array([-18.94204246,  41.58288545])"
193,url-course-wisconsin-00230,course,"array([-19.23248842,  41.69255042])"
194,url-course-wisconsin-00233,course,"array([-19.17396883,  41.70199482])"
195,url-course-wisconsin-00221,course,"array([-19.202673  ,  41.69795971])"
196,url-faculty-wisconsin-00382,faculty,"array([-19.22254113,  41.57022546])"
197,url-course-wisconsin-00217,course,"array([-19.15889261,  41.72966519])"
198,url-course-wisconsin-00237,course,"array([-19.12130918,  41.68248908])"
199,url-course-wisconsin-00238,course,"array([-19.12887602,  41.7288498 ])"
200,url-course-wisconsin-00219,course,"array([-19.11201229,  41.70568385])"
201,url-course-wisconsin-00223,course,"array([-19.16100938,  41.68248721])"
202,url-course-wisconsin-00224,course,"array([-19.25036104,  41.7233569 ])"
203,url-course-wisconsin-00229,course,"array([-19.23062238,  41.67129836])"
204,url-course-wisconsin-00215,course,"array([-19.12996154,  41.76077346])"
205,url-faculty-wisconsin-00384,faculty,"array([-19.2029731 ,  41.57193247])"
206,url-project-wisconsin-00447,project,"array([-19.15987817,  41.57442917])"
207,url-staff-wisconsin-00544,staff,"array([-19.21567731,  41.51163115])"
208,url-course-wisconsin-00189,course,"array([-19.24102295,  41.58485372])"
209,url-department-wisconsin-01481,department,"array([-19.14004123,  41.58577112])"
210,url-department-wisconsin-01477,department,"array([-19.10531204,  41.59017566])"
211,url-staff-wisconsin-00565,staff,"array([-19.1785275 ,  41.58053955])"
212,url-course-wisconsin-00235,course,"array([-19.17510205,  41.78286874])"
213,url-faculty-wisconsin-00408,faculty,"array([-19.40489283,  41.54033029])"
214,url-project-wisconsin-00458,project,"array([-19.46683638,  41.46359179])"
215,url-project-wisconsin-00442,project,"array([-19.29727283,  41.58721361])"
216,url-project-wisconsin-00449,project,"array([-19.32833364,  41.54974344])"
217,url-course-wisconsin-00179,course,"array([-19.33366728,  41.57436393])"
218,url-department-wisconsin-01464,department,"array([-19.47471216,  41.51524969])"
219,url-course-wisconsin-00180,course,"array([-19.35901051,  41.55208958])"
220,url-course-wisconsin-00176,course,"array([-19.34689   ,  41.59325508])"
221,url-faculty-wisconsin-00397,faculty,"array([-19.2313001 ,  41.54905954])"
222,url-project-wisconsin-00441,project,"array([-19.2626943,  41.4824261])"
223,url-project-wisconsin-00463,project,"array([-19.24378916,  41.49132145])"
224,url-staff-wisconsin-00546,staff,"array([-19.12715953,  41.58044141])"
225,url-course-wisconsin-00187,course,"array([-19.33127358,  41.70954992])"
226,url-course-wisconsin-00199,course,"array([-19.32561186,  41.65633615])"
227,url-course-wisconsin-00162,course,"array([-19.26345081,  41.59800873])"
228,url-course-wisconsin-00161,course,"array([-19.28238927,  41.64934286])"
229,url-course-wisconsin-00194,course,"array([-19.3043471 ,  41.64051746])"
230,url-course-wisconsin-00160,course,"array([-19.25557454,  41.65950448])"
231,url-course-wisconsin-00188,course,"array([-19.34813684,  41.68381782])"
232,url-course-wisconsin-00158,course,"array([-19.25915398,  41.6313119 ])"
233,url-course-wisconsin-00198,course,"array([-19.25861627,  41.68114976])"
234,url-course-wisconsin-00200,course,"array([-19.29763177,  41.69223119])"
235,url-course-wisconsin-00196,course,"array([-19.33329139,  41.63465   ])"
236,url-course-wisconsin-00157,course,"array([-19.15071902,  41.62856419])"
237,url-course-wisconsin-00197,course,"array([-19.2736647 ,  41.70372572])"
238,url-course-wisconsin-00192,course,"array([-19.28217893,  41.67163849])"
239,url-course-wisconsin-00165,course,"array([-19.3075253 ,  41.72799441])"
240,url-course-wisconsin-00163,course,"array([-19.30636982,  41.67080651])"
241,url-faculty-wisconsin-00379,faculty,"array([-19.07699168,  41.59668164])"
242,url-department-wisconsin-01470,department,"array([-19.01855315,  41.58877015])"
243,url-project-wisconsin-00445,project,"array([-19.25594449,  41.53465551])"
244,url-department-wisconsin-01473,department,"array([-19.00842431,  41.60366926])"
245,url-department-wisconsin-01493,department,"array([-19.0112728 ,  41.62416549])"
246,url-department-wisconsin-01476,department,"array([-19.03969509,  41.62330652])"
247,url-department-wisconsin-01489,department,"array([-19.02134907,  41.56750886])"
248,url-project-wisconsin-00446,project,"array([-19.1151117 ,  41.60819124])"
249,url-department-wisconsin-01486,department,"array([-19.02587757,  41.60899662])"
250,url-faculty-wisconsin-00387,faculty,"array([-19.2640772 ,  41.50188219])"
251,url-staff-wisconsin-00547,staff,"array([-19.08077498,  41.64426718])"
252,url-department-wisconsin-01471,department,"array([-19.00322402,  41.55429783])"
253,url-project-wisconsin-00460,project,"array([-19.24469313,  41.51059745])"
254,url-department-wisconsin-01490,department,"array([-19.03410769,  41.59369986])"
255,url-department-wisconsin-01487,department,"array([-18.99658401,  41.58951651])"
256,url-department-wisconsin-01469,department,"array([-19.04267465,  41.64602226])"
257,url-department-wisconsin-01472,department,"array([-19.07597462,  41.62654936])"
258,url-faculty-wisconsin-00409,faculty,"array([-19.28505095,  41.4986328 ])"
259,url-student-wisconsin-00638,student,"array([-19.13043985,  41.62577927])"
260,url-staff-wisconsin-00545,staff,"array([-19.27701605,  41.45966908])"
261,url-faculty-wisconsin-00412,faculty,"array([-19.24938234,  41.5589417 ])"
262,url-department-wisconsin-01454,department,"array([-19.06987612,  41.56631395])"
263,url-department-wisconsin-01491,department,"array([-19.02536524,  41.63442454])"
264,url-department-wisconsin-01474,department,"array([-19.05313779,  41.58230147])"
265,url-faculty-wisconsin-00405,faculty,"array([-19.01845416,  41.53682062])"
266,url-faculty-wisconsin-00385,faculty,"array([-19.28779323,  41.47853367])"
267,url-faculty-wisconsin-00381,faculty,"array([-19.00306425,  41.5745467 ])"
268,url-department-wisconsin-01484,department,"array([-19.05802374,  41.59826917])"
269,url-project-wisconsin-00464,project,"array([-19.23623138,  41.5296159 ])"
270,url-department-wisconsin-01475,department,"array([-19.03665021,  41.57425611])"
271,url-department-wisconsin-01455,department,"array([-19.05504004,  41.62936832])"
272,url-faculty-wisconsin-00378,faculty,"array([-19.06140006,  41.64792429])"
273,url-staff-wisconsin-00549,staff,"array([-19.10210109,  41.62716758])"
274,url-department-wisconsin-01488,department,"array([-19.06488103,  41.61232824])"
275,url-department-wisconsin-01485,department,"array([-19.04432645,  41.6092897 ])"
276,url-faculty-wisconsin-00407,faculty,"array([-19.0363793 ,  41.55239113])"
277,url-project-wisconsin-00461,project,"array([-19.09111181,  41.57406474])"
278,url-department-wisconsin-01492,department,"array([-19.08889328,  41.61247965])"
279,url-faculty-wisconsin-00400,faculty,"array([-19.26968217,  41.52270642])"
280,url-faculty-wisconsin-00419,faculty,"array([-18.84864895,  41.61418485])"
281,url-faculty-wisconsin-00410,faculty,"array([-19.08425557,  41.75683   ])"
282,url-course-wisconsin-00182,course,"array([-19.25699535,  41.4378629 ])"
283,url-course-wisconsin-00202,course,"array([-19.30108636,  41.5559992 ])"
284,url-course-wisconsin-00203,course,"array([-19.44904088,  41.68540022])"
285,url-faculty-wisconsin-00388,faculty,"array([-19.40713266,  41.62972135])"
286,url-course-wisconsin-00177,course,"array([-19.38344969,  41.58153528])"
287,url-course-wisconsin-00172,course,"array([-19.23863623,  41.43451454])"
288,url-course-wisconsin-00173,course,"array([-19.24908156,  41.41480297])"
289,url-course-wisconsin-00183,course,"array([-19.2506078,  41.4571825])"
290,url-course-wisconsin-00166,course,"array([-19.36179813,  41.4978709 ])"
291,url-department-wisconsin-01467,department,"array([-19.23940457,  41.7993269 ])"
292,url-faculty-wisconsin-00414,faculty,"array([-18.99658809,  41.50640045])"
293,url-faculty-wisconsin-00402,faculty,"array([-19.16287488,  41.36841678])"
294,url-faculty-wisconsin-00413,faculty,"array([-19.02853844,  41.47001483])"
295,url-course-wisconsin-00156,course,"array([-19.00662198,  41.67858469])"
296,url-faculty-wisconsin-00390,faculty,"array([-18.99024712,  41.40582995])"
297,url-course-wisconsin-00222,course,"array([-18.96192492,  41.43748512])"
298,url-project-wisconsin-00448,project,"array([-19.21499597,  41.43597002])"
299,url-staff-wisconsin-00566,staff,"array([-19.06768555,  41.33610062])"
300,url-faculty-wisconsin-00393,faculty,"array([-19.08132494,  41.3787672 ])"
301,url-faculty-wisconsin-00398,faculty,"array([-18.846873  ,  41.53399938])"
302,url-faculty-wisconsin-00386,faculty,"array([-18.8682348,  41.4733776])"
303,url-faculty-wisconsin-00406,faculty,"array([-18.78379053,  41.50823238])"
304,url-course-wisconsin-00167,course,"array([-19.29301347,  41.43976932])"
305,url-course-wisconsin-00159,course,"array([-19.31696705,  41.61175206])"
306,url-department-wisconsin-01457,department,"array([-18.99216435,  41.71769248])"
307,url-course-wisconsin-00171,course,"array([-18.91776414,  41.63528126])"
308,url-course-wisconsin-00191,course,"array([-19.05959062,  41.679164  ])"
309,url-course-wisconsin-00185,course,"array([-18.93693198,  41.67461269])"
310,url-faculty-wisconsin-00399,faculty,"array([-19.28872368,  41.41402442])"
311,url-project-wisconsin-00462,project,"array([-19.27460152,  41.57543143])"
312,url-course-wisconsin-00168,course,"array([-19.28983441,  41.61886198])"
313,url-department-wisconsin-01458,department,"array([-18.98006079,  41.65484086])"
314,url-project-wisconsin-00440,project,"array([-19.27390856,  41.554061  ])"
315,url-project-wisconsin-00444,project,"array([-19.22517326,  41.4060978 ])"
316,url-faculty-wisconsin-00389,faculty,"array([-19.17973825,  41.33272696])"
317,url-project-wisconsin-00459,project,"array([-19.23179865,  41.45990446])"
318,url-faculty-wisconsin-00404,faculty,"array([-19.14694412,  41.34629283])"
319,url-course-wisconsin-00186,course,"array([-19.19229653,  41.3587217 ])"
320,url-course-wisconsin-00220,course,"array([-19.21364958,  41.36469928])"
