# source, target, weight
0,1,1
0,2,1
0,3,5
1,0,1
1,19,1
1,29,4
1,63,2
1,64,4
1,66,3
1,94,1
1,3,1
2,0,1
2,60,1
2,66,1
2,22,1
2,95,1
2,112,1
2,156,1
2,158,1
2,159,1
2,9,1
2,160,1
2,161,1
2,162,1
2,133,1
2,163,1
2,164,1
2,165,2
2,166,1
2,167,1
2,168,1
2,23,1
2,169,1
2,170,1
2,171,1
2,83,1
2,172,1
2,173,1
2,24,1
2,75,1
2,174,1
2,175,1
2,6,1
2,176,1
2,177,1
2,145,1
2,178,1
2,108,1
2,179,1
2,180,1
2,181,1
2,109,1
2,3,2
2,182,1
3,0,5
3,66,1
3,95,5
3,8,1
3,1,1
3,2,2
3,209,1
3,37,2
3,215,1
4,5,1
4,6,1
5,4,1
5,183,1
5,184,1
5,185,1
5,186,1
5,187,1
5,9,1
5,188,2
5,189,1
5,190,1
5,191,1
5,192,1
5,193,1
5,45,1
6,4,1
6,136,1
6,2,1
6,222,1
6,35,1
6,204,1
6,6,2
7,8,1
7,9,1
7,10,2
7,11,1
8,7,1
8,12,1
8,14,1
8,16,1
8,25,1
8,21,2
8,80,2
8,22,1
8,82,2
8,86,1
8,88,1
8,90,1
8,92,1
8,94,1
8,95,1
8,15,1
8,10,1
8,87,1
8,111,1
8,3,1
9,7,1
9,120,1
9,2,1
9,5,1
9,194,1
9,97,4
9,218,1
9,195,1
9,196,1
9,183,1
9,184,1
9,185,1
9,186,1
9,187,1
9,159,1
9,188,1
9,189,1
9,190,1
9,191,1
9,192,1
9,193,1
9,197,1
9,220,1
9,221,1
9,223,1
9,222,1
9,219,1
9,202,1
9,224,1
9,40,1
9,225,1
9,226,1
9,227,1
9,228,1
9,229,1
9,69,1
9,119,1
9,230,2
9,129,1
9,81,2
9,74,1
9,23,1
9,171,1
9,17,1
9,13,2
9,175,1
9,10,1
9,105,1
9,216,1
9,231,1
9,232,1
9,233,1
9,114,1
9,179,1
9,208,1
9,234,1
9,110,1
10,7,2
10,8,1
10,127,1
10,217,1
10,9,1
10,128,1
11,7,1
12,8,1
12,13,3
13,12,3
13,9,2
13,296,1
13,13,2
14,8,1
14,15,3
15,14,3
15,32,1
15,36,1
15,96,1
15,8,1
15,132,1
15,15,4
16,8,1
16,17,2
17,16,2
17,9,1
17,17,2
18,19,1
18,20,1
19,18,1
19,21,1
19,22,1
19,1,1
19,23,1
19,24,1
20,18,1
21,19,1
21,8,2
22,19,1
22,22,2
22,8,1
22,2,1
22,23,1
23,19,1
23,22,1
23,139,1
23,2,1
23,9,1
23,140,1
24,19,1
24,2,1
25,8,1
25,26,1
26,25,1
27,28,2
28,27,2
28,71,1
28,157,1
29,1,4
30,31,1
31,30,1
31,38,1
32,33,1
32,15,1
33,32,1
33,62,1
34,35,1
35,34,1
35,35,2
35,6,1
36,37,1
36,15,1
36,38,1
37,36,1
37,272,2
37,273,1
37,274,1
37,275,1
37,276,2
37,277,2
37,3,2
38,36,1
38,31,1
38,162,1
39,40,1
40,39,1
40,61,1
40,130,1
40,9,1
40,226,1
40,266,1
40,246,1
41,42,1
41,43,2
41,44,1
41,45,1
42,41,1
42,46,1
42,44,1
42,45,1
43,41,2
43,44,1
43,45,1
44,41,1
44,46,1
44,42,1
44,43,1
44,45,1
44,260,1
44,230,2
44,261,2
44,249,2
45,41,1
45,46,1
45,42,1
45,43,1
45,62,1
45,5,1
45,116,1
45,44,1
45,260,2
45,270,1
45,271,1
45,249,1
45,177,1
46,42,1
46,44,1
46,45,1
47,48,2
48,47,2
48,146,1
48,236,2
48,126,1
48,48,10
48,258,1
48,259,2
49,50,1
50,49,1
51,52,1
51,53,1
52,51,1
52,57,1
52,53,1
53,51,1
53,57,2
53,52,1
53,243,1
54,55,2
55,54,2
55,56,1
55,118,3
56,55,1
57,52,1
57,53,2
58,59,2
59,58,2
60,2,1
61,40,1
62,33,1
62,45,1
63,1,2
64,1,4
64,65,2
65,64,2
66,1,3
66,2,1
66,67,3
66,3,1
67,66,3
68,69,1
69,68,1
69,70,1
69,101,2
69,139,1
69,125,1
69,102,1
69,9,1
70,71,1
70,72,1
70,73,1
70,69,1
70,74,1
70,75,1
70,76,1
70,77,1
70,78,1
70,79,1
71,70,1
71,84,1
71,101,1
71,102,1
71,28,1
71,103,1
71,85,2
71,104,2
71,105,1
71,106,2
71,107,1
71,108,1
71,109,2
71,110,2
72,70,1
72,101,1
72,102,1
73,70,1
73,101,2
73,102,1
74,70,1
74,101,2
74,139,1
74,102,1
74,9,1
75,70,1
75,101,2
75,127,1
75,130,1
75,136,1
75,102,1
75,2,1
76,70,1
76,101,1
76,102,1
77,70,1
77,101,1
77,102,1
78,70,1
78,101,1
78,102,1
79,70,1
79,101,1
79,102,1
80,8,2
80,81,2
81,80,2
81,132,1
81,125,1
81,9,2
82,8,2
82,83,2
83,82,2
83,2,1
83,83,2
84,71,1
84,85,1
85,84,1
85,71,2
85,157,2
86,8,1
86,87,3
87,86,3
87,8,1
88,8,1
88,89,3
89,88,3
89,122,1
90,8,1
90,91,3
91,90,3
91,91,2
92,8,1
92,93,1
93,92,1
93,94,1
94,8,1
94,1,1
94,93,1
95,8,1
95,2,1
95,3,5
96,97,1
96,98,1
96,15,1
97,96,1
97,97,2
97,9,4
97,214,2
97,215,1
97,216,1
98,96,1
98,215,1
98,256,1
98,257,1
99,99,2
99,100,1
100,99,1
101,71,1
101,72,1
101,73,2
101,69,2
101,74,2
101,75,2
101,76,1
101,77,1
101,78,1
101,79,1
102,71,1
102,72,1
102,73,1
102,69,1
102,74,1
102,75,1
102,76,1
102,77,1
102,78,1
102,79,1
103,71,1
103,157,1
104,71,2
104,157,2
105,71,1
105,157,1
105,9,1
106,71,2
106,157,1
107,71,1
107,157,1
108,71,1
108,157,1
108,2,1
109,71,2
109,136,1
109,157,1
109,2,1
109,204,1
110,71,2
110,157,1
110,9,1
111,8,1
112,2,1
112,113,1
112,114,1
113,112,1
114,112,1
114,9,1
115,115,2
115,116,1
115,117,1
116,115,1
116,135,1
116,116,2
116,45,1
116,230,1
116,246,1
116,247,1
116,248,1
116,249,1
116,250,1
117,115,1
117,152,2
118,55,3
118,119,1
119,118,1
119,9,1
120,9,1
120,121,1
121,120,1
121,127,1
121,142,1
121,198,1
122,123,1
122,89,1
123,122,1
124,125,1
124,126,1
125,124,1
125,144,1
125,69,1
125,81,1
125,145,1
126,124,1
126,48,1
126,241,2
126,251,1
126,231,2
127,128,1
127,129,1
127,121,1
127,75,1
127,10,1
128,127,1
128,10,1
129,127,1
129,136,1
129,142,1
129,9,1
130,40,1
130,75,1
130,131,1
131,130,1
132,133,1
132,134,1
132,81,1
132,15,1
133,132,1
133,2,1
134,132,1
134,199,1
135,116,1
136,137,1
136,138,1
136,129,1
136,75,1
136,6,1
136,109,1
137,136,1
137,144,1
137,252,1
137,227,2
137,280,1
137,269,2
137,234,2
138,136,1
139,140,1
139,69,1
139,141,1
139,74,1
139,23,1
140,139,1
140,23,1
141,139,1
142,143,1
142,129,1
142,121,1
143,142,1
144,125,1
144,137,1
144,252,2
144,253,4
144,254,2
144,227,1
144,255,1
144,179,1
144,234,1
145,125,1
145,2,1
146,48,1
146,147,1
147,146,1
148,149,1
149,148,1
149,213,1
149,267,3
150,151,1
151,150,1
152,152,2
152,153,1
152,154,2
152,117,2
152,155,1
153,152,1
153,158,1
154,152,2
154,227,1
154,176,1
154,208,1
155,152,1
156,2,1
157,28,1
157,103,1
157,85,2
157,104,2
157,105,1
157,106,1
157,107,1
157,108,1
157,109,1
157,110,1
158,2,1
158,158,2
158,153,1
158,205,1
158,206,1
159,2,1
159,9,1
160,2,1
161,2,1
161,201,1
161,220,1
161,221,1
161,163,1
161,235,1
162,2,1
162,38,1
163,2,1
163,221,1
163,219,1
163,161,1
163,215,1
164,2,1
164,238,2
164,239,1
164,240,1
165,2,2
165,239,2
166,2,1
166,226,1
166,293,1
167,2,1
167,194,1
167,201,1
168,2,1
169,2,1
170,2,1
171,2,1
171,9,1
172,2,1
173,2,1
173,263,1
174,2,1
175,2,1
175,9,1
175,262,2
175,263,1
175,264,1
175,230,1
176,2,1
176,154,1
177,2,1
177,45,1
177,260,1
178,2,1
179,2,1
179,9,1
179,144,1
179,179,4
180,2,1
180,231,1
181,2,1
182,2,1
183,5,1
183,184,1
183,185,1
183,187,1
183,9,1
183,188,2
183,189,1
183,191,1
184,5,1
184,183,1
184,187,1
184,9,1
184,188,1
184,189,1
184,192,1
185,5,1
185,194,1
185,195,1
185,183,1
185,185,2
185,186,1
185,187,1
185,9,1
185,188,1
185,189,1
185,190,1
185,192,1
185,197,1
185,220,1
186,5,1
186,194,1
186,185,1
186,187,1
186,9,1
186,188,1
186,189,1
186,220,1
186,221,1
187,5,1
187,194,1
187,218,1
187,195,1
187,196,1
187,183,1
187,184,1
187,185,1
187,186,1
187,187,2
187,9,1
187,188,3
187,189,2
187,190,1
187,191,1
187,192,1
187,193,1
187,197,1
187,220,1
187,221,1
187,222,1
187,219,1
187,202,1
188,5,2
188,194,2
188,218,1
188,195,2
188,196,1
188,183,2
188,184,1
188,185,1
188,186,1
188,187,3
188,9,1
188,188,2
188,189,2
188,190,1
188,191,1
188,192,2
188,193,1
188,197,2
188,220,2
188,221,1
188,222,1
188,219,1
188,202,1
189,5,1
189,194,1
189,218,1
189,195,1
189,196,1
189,183,1
189,184,1
189,185,1
189,186,1
189,187,2
189,9,1
189,188,2
189,189,2
189,190,1
189,191,1
189,192,1
189,193,1
189,197,1
189,220,1
189,221,1
189,222,1
189,219,1
189,202,1
190,5,1
190,194,1
190,185,1
190,187,1
190,9,1
190,188,1
190,189,1
190,220,1
190,221,1
191,5,1
191,183,1
191,187,1
191,9,1
191,188,1
191,189,1
191,192,1
192,5,1
192,184,1
192,185,1
192,187,1
192,9,1
192,188,2
192,189,1
192,191,1
193,5,1
193,187,1
193,9,1
193,188,1
193,189,1
194,195,2
194,196,1
194,185,1
194,186,1
194,187,1
194,9,1
194,188,2
194,189,1
194,190,1
194,197,2
194,167,1
195,194,2
195,196,1
195,185,1
195,187,1
195,9,1
195,188,2
195,189,1
196,194,1
196,195,1
196,187,1
196,9,1
196,188,1
196,189,1
196,197,1
197,194,2
197,196,1
197,185,1
197,187,1
197,9,1
197,188,2
197,189,1
198,121,1
199,200,1
199,134,1
200,199,1
201,161,1
201,202,1
201,167,1
202,201,1
202,218,1
202,187,1
202,9,1
202,188,1
202,189,1
202,220,2
203,204,1
204,203,1
204,6,1
204,109,1
204,281,1
205,158,1
205,214,1
205,228,1
206,158,1
207,208,1
208,207,1
208,9,1
208,154,1
209,3,1
210,211,1
211,210,1
212,213,1
213,212,1
213,149,1
213,215,1
213,267,1
214,97,2
214,225,2
214,205,1
214,228,1
215,97,1
215,98,1
215,163,1
215,213,1
215,3,1
215,257,1
216,97,1
216,9,1
217,10,1
218,187,1
218,9,1
218,188,1
218,189,1
218,219,1
218,202,1
219,218,1
219,187,1
219,9,1
219,188,1
219,189,1
219,220,2
219,163,1
220,185,1
220,186,1
220,187,1
220,9,1
220,188,2
220,189,1
220,190,1
220,219,2
220,161,1
220,202,2
221,186,1
221,187,1
221,9,1
221,188,1
221,189,1
221,190,1
221,161,1
221,163,1
222,187,1
222,9,1
222,188,1
222,189,1
222,6,1
223,9,1
223,228,1
224,9,1
224,265,1
225,9,1
225,214,2
225,228,2
225,229,1
226,9,1
226,40,1
226,260,1
226,166,1
226,291,1
226,266,1
226,292,1
226,246,1
226,293,1
227,9,1
227,144,1
227,268,1
227,154,1
227,137,2
228,9,1
228,223,1
228,214,1
228,225,2
228,205,1
228,229,1
229,9,1
229,225,1
229,228,1
230,9,2
230,116,1
230,44,2
230,260,1
230,264,2
230,282,1
230,271,1
230,175,1
230,249,1
230,284,1
231,9,1
231,126,2
231,241,1
231,180,1
232,9,1
232,262,2
232,263,2
233,9,1
234,9,1
234,144,1
234,137,2
235,161,1
236,48,2
236,237,1
237,236,1
237,240,4
237,254,1
238,239,1
238,240,1
238,164,2
238,241,1
238,242,1
239,238,1
239,240,2
239,164,1
239,165,2
239,285,1
239,286,1
240,238,1
240,252,2
240,239,2
240,237,4
240,164,1
240,258,1
240,285,1
241,238,1
241,126,2
241,231,1
242,238,1
243,53,1
244,245,2
245,244,2
245,282,1
245,283,2
245,284,2
246,116,1
246,40,1
246,260,1
246,226,1
247,116,1
248,116,1
248,260,1
248,248,2
249,116,1
249,44,2
249,45,1
249,260,1
249,230,1
250,116,1
251,126,1
252,144,2
252,137,1
252,240,2
253,144,4
254,144,2
254,237,1
254,280,1
254,294,1
255,144,1
256,98,1
257,98,1
257,215,1
258,48,1
258,240,1
259,48,2
260,44,1
260,45,2
260,226,1
260,287,1
260,230,1
260,246,1
260,248,1
260,249,1
260,177,1
260,284,1
261,44,2
262,263,1
262,264,2
262,175,2
262,232,2
263,262,1
263,264,1
263,289,1
263,173,1
263,175,1
263,290,1
263,232,2
264,262,2
264,263,1
264,230,2
264,282,1
264,175,1
264,284,1
265,224,1
266,40,1
266,226,1
267,149,3
267,213,1
267,288,2
267,267,2
268,227,1
268,269,1
269,268,1
269,137,2
270,45,1
271,45,1
271,230,1
272,37,2
272,275,1
272,277,2
273,37,1
273,274,1
273,277,1
274,37,1
274,273,1
274,277,2
275,37,1
275,272,1
275,277,4
276,37,2
277,37,2
277,272,2
277,273,1
277,274,2
277,275,4
278,279,1
279,278,1
280,137,1
280,254,1
281,204,1
282,245,1
282,264,1
282,230,1
283,245,2
284,245,2
284,260,1
284,264,1
284,230,1
285,239,1
285,240,1
286,239,1
287,260,1
288,267,2
289,263,1
290,263,1
290,298,1
291,226,1
292,226,1
293,226,1
293,166,1
294,254,1
295,295,2
296,13,1
297,297,2
298,290,1
299,299,2
