# index, name, student, _pos
0,url-course-wisconsin-00155,course,"array([0.46576048, 3.46610452])"
1,url-course-wisconsin-00239,course,"array([0.33830645, 3.51900967])"
2,url-department-wisconsin-01453,department,"array([0.64208215, 3.45230611])"
3,url-student-wisconsin-00719,student,"array([0.40837713, 3.36818917])"
4,url-course-wisconsin-00156,course,"array([0.85463287, 3.44196914])"
5,url-department-wisconsin-01454,department,"array([0.78341239, 3.30510832])"
6,url-student-wisconsin-00675,student,"array([0.83628786, 3.55759258])"
7,url-course-wisconsin-00157,course,"array([0.51606135, 3.44805198])"
8,url-course-wisconsin-00206,course,"array([0.34477135, 3.42077645])"
9,url-department-wisconsin-01481,department,"array([0.74177885, 3.41260914])"
10,url-student-wisconsin-00638,student,"array([0.53428149, 3.51741376])"
11,url-student-wisconsin-00642,student,"array([0.42032361, 3.52754034])"
12,url-course-wisconsin-00158,course,"array([0.43160785, 3.3035088 ])"
13,url-student-wisconsin-00634,student,"array([0.57441107, 3.27243218])"
14,url-course-wisconsin-00159,course,"array([0.31603978, 3.30198623])"
15,url-student-wisconsin-00624,student,"array([0.38056712, 3.25066928])"
16,url-course-wisconsin-00160,course,"array([0.44819636, 3.35974253])"
17,url-student-wisconsin-00618,student,"array([0.58507913, 3.36838522])"
18,url-course-wisconsin-00161,course,"array([0.32440705, 3.68656551])"
19,url-course-wisconsin-00162,course,"array([0.42413606, 3.58332448])"
20,url-student-wisconsin-00610,student,"array([0.24993308, 3.75419341])"
21,url-course-wisconsin-00168,course,"array([0.33974828, 3.553921  ])"
22,url-course-wisconsin-00193,course,"array([0.479896 , 3.5089627])"
23,url-student-wisconsin-00605,student,"array([0.60004629, 3.55477431])"
24,url-student-wisconsin-00628,student,"array([0.50576191, 3.55410103])"
25,url-course-wisconsin-00163,course,"array([0.19424741, 3.45752894])"
26,url-student-wisconsin-00585,student,"array([0.09313685, 3.49234802])"
27,url-course-wisconsin-00164,course,"array([1.21402973, 3.64259004])"
28,url-student-wisconsin-00582,student,"array([1.10969951, 3.61289598])"
29,url-course-wisconsin-00165,course,"array([0.24864741, 3.57053973])"
30,url-course-wisconsin-00166,course,"array([0.22299878, 3.01520287])"
31,url-course-wisconsin-00228,course,"array([0.287347 , 3.0846105])"
32,url-course-wisconsin-00167,course,"array([0.45665117, 3.1207768 ])"
33,url-course-wisconsin-00220,course,"array([0.56519234, 3.04210864])"
34,url-course-wisconsin-00169,course,"array([1.10350984, 3.72951461])"
35,url-faculty-wisconsin-00418,faculty,"array([0.99204486, 3.6516303 ])"
36,url-course-wisconsin-00170,course,"array([0.29839958, 3.19731567])"
37,url-faculty-wisconsin-00415,faculty,"array([0.22153943, 3.21921997])"
38,url-student-wisconsin-00664,student,"array([0.36921833, 3.18528824])"
39,url-course-wisconsin-00171,course,"array([1.04350856, 3.27351543])"
40,url-faculty-wisconsin-00407,faculty,"array([0.93700009, 3.32429335])"
41,url-course-wisconsin-00172,course,"array([0.82294475, 2.9689866 ])"
42,url-course-wisconsin-00182,course,"array([0.86876483, 2.97077111])"
43,url-course-wisconsin-00183,course,"array([0.80366006, 3.0122286 ])"
44,url-faculty-wisconsin-00402,faculty,"array([0.87431857, 3.0346329 ])"
45,url-faculty-wisconsin-00413,faculty,"array([0.82140049, 3.08321443])"
46,url-course-wisconsin-00173,course,"array([0.84851812, 3.00219368])"
47,url-course-wisconsin-00174,course,"array([0.49122986, 4.09892622])"
48,url-faculty-wisconsin-00400,faculty,"array([0.4821846 , 4.01004021])"
49,url-course-wisconsin-00175,course,"array([1.34175373, 2.46634287])"
50,url-faculty-wisconsin-00390,faculty,"array([1.38662619, 2.50014932])"
51,url-course-wisconsin-00176,course,"array([-0.32823168,  2.8744351 ])"
52,url-course-wisconsin-00180,course,"array([-0.38434267,  2.86680162])"
53,url-faculty-wisconsin-00388,faculty,"array([-0.35120116,  2.81652879])"
54,url-course-wisconsin-00177,course,"array([0.60963337, 2.77621911])"
55,url-faculty-wisconsin-00386,faculty,"array([0.64837214, 2.85719702])"
56,url-course-wisconsin-00178,course,"array([0.67357528, 2.77067037])"
57,url-course-wisconsin-00179,course,"array([-0.41331041,  2.81724702])"
58,url-course-wisconsin-00181,course,"array([0.12702143, 2.36711755])"
59,url-faculty-wisconsin-00392,faculty,"array([0.17865407, 2.344478  ])"
60,url-course-wisconsin-00184,course,"array([0.57432694, 3.51199733])"
61,url-course-wisconsin-00185,course,"array([1.05542291, 3.32739587])"
62,url-course-wisconsin-00186,course,"array([0.69333003, 3.03859377])"
63,url-course-wisconsin-00187,course,"array([0.283637  , 3.61155103])"
64,url-course-wisconsin-00188,course,"array([0.21237245, 3.61245632])"
65,url-student-wisconsin-00696,student,"array([0.12836008, 3.66692447])"
66,url-course-wisconsin-00189,course,"array([0.43562393, 3.45298521])"
67,url-student-wisconsin-00690,student,"array([0.3324741 , 3.47045011])"
68,url-course-wisconsin-00190,course,"array([0.79216047, 3.72083064])"
69,url-student-wisconsin-00576,student,"array([0.78436289, 3.62216393])"
70,url-course-wisconsin-00191,course,"array([0.88106245, 3.66526378])"
71,url-course-wisconsin-00204,course,"array([0.9727855 , 3.60544093])"
72,url-faculty-wisconsin-00383,faculty,"array([0.9713376, 3.7149145])"
73,url-student-wisconsin-00569,student,"array([0.91199647, 3.76797814])"
74,url-student-wisconsin-00603,student,"array([0.82406727, 3.60172483])"
75,url-student-wisconsin-00631,student,"array([0.8007507 , 3.58068626])"
76,url-student-wisconsin-00650,student,"array([0.94839666, 3.75015998])"
77,url-student-wisconsin-00656,student,"array([0.93635785, 3.70709326])"
78,url-student-wisconsin-00661,student,"array([0.90914878, 3.73151622])"
79,url-student-wisconsin-00688,student,"array([0.87018627, 3.74066426])"
80,url-course-wisconsin-00192,course,"array([0.40510848, 3.47785955])"
81,url-student-wisconsin-00601,student,"array([0.55164629, 3.4695892 ])"
82,url-course-wisconsin-00194,course,"array([0.38716836, 3.41231262])"
83,url-student-wisconsin-00615,student,"array([0.50047101, 3.41146322])"
84,url-course-wisconsin-00195,course,"array([1.08638221, 3.67519005])"
85,url-student-wisconsin-00617,student,"array([1.04312002, 3.6563524 ])"
86,url-course-wisconsin-00196,course,"array([0.260146  , 3.36080803])"
87,url-student-wisconsin-00646,student,"array([0.24680432, 3.40026443])"
88,url-course-wisconsin-00197,course,"array([0.15512729, 3.432129  ])"
89,url-student-wisconsin-00663,student,"array([0.01406573, 3.45147047])"
90,url-course-wisconsin-00198,course,"array([0.19248578, 3.38388244])"
91,url-student-wisconsin-00684,student,"array([0.09157061, 3.37640606])"
92,url-course-wisconsin-00199,course,"array([0.22792517, 3.48494579])"
93,url-student-wisconsin-00717,student,"array([0.17400421, 3.53488808])"
94,url-course-wisconsin-00200,course,"array([0.26536499, 3.50839609])"
95,url-course-wisconsin-00201,course,"array([0.46200804, 3.41345552])"
96,url-course-wisconsin-00202,course,"array([0.49024597, 3.17043058])"
97,url-department-wisconsin-01466,department,"array([0.61709092, 3.23785388])"
98,url-faculty-wisconsin-00399,faculty,"array([0.44903492, 3.07512893])"
99,url-course-wisconsin-00203,course,"array([1.79390137, 3.56591732])"
100,url-course-wisconsin-00224,course,"array([1.78445289, 3.6209562 ])"
101,url-course-wisconsin-00205,course,"array([0.88136442, 3.69011469])"
102,url-course-wisconsin-00237,course,"array([0.90453097, 3.66844428])"
103,url-student-wisconsin-00588,student,"array([1.08160088, 3.57361371])"
104,url-student-wisconsin-00633,student,"array([1.0667331 , 3.62331049])"
105,url-student-wisconsin-00660,student,"array([0.89419053, 3.53578795])"
106,url-student-wisconsin-00691,student,"array([1.03644424, 3.59871383])"
107,url-student-wisconsin-00698,student,"array([1.04724743, 3.55079466])"
108,url-student-wisconsin-00699,student,"array([0.84845453, 3.52544373])"
109,url-student-wisconsin-00716,student,"array([0.86127242, 3.58157854])"
110,url-student-wisconsin-00723,student,"array([0.90006813, 3.50550626])"
111,url-student-wisconsin-00713,student,"array([0.26557936, 3.44124269])"
112,url-course-wisconsin-00207,course,"array([0.55105582, 3.34048691])"
113,url-faculty-wisconsin-00403,faculty,"array([0.48957206, 3.24591507])"
114,url-student-wisconsin-00697,student,"array([0.62830065, 3.38479606])"
115,url-course-wisconsin-00210,course,"array([1.10963378, 3.15084862])"
116,url-faculty-wisconsin-00393,faculty,"array([0.98550039, 3.07503729])"
117,url-student-wisconsin-00583,student,"array([1.15676341, 3.26656774])"
118,url-course-wisconsin-00211,course,"array([0.66339481, 3.00138049])"
119,url-student-wisconsin-00579,student,"array([0.70119435, 3.18136177])"
120,url-course-wisconsin-00212,course,"array([0.69612218, 3.57564647])"
121,url-student-wisconsin-00629,student,"array([0.65570511, 3.7062848 ])"
122,url-course-wisconsin-00214,course,"array([-0.09235177,  3.46635527])"
123,url-faculty-wisconsin-00401,faculty,"array([-0.16977401,  3.47666619])"
124,url-course-wisconsin-00216,course,"array([0.58470115, 3.75990694])"
125,url-course-wisconsin-00227,course,"array([0.65300401, 3.64497124])"
126,url-faculty-wisconsin-00396,faculty,"array([0.52342156, 3.82878074])"
127,url-course-wisconsin-00217,course,"array([0.64252686, 3.61288264])"
128,url-faculty-wisconsin-00410,faculty,"array([0.51721157, 3.61739496])"
129,url-student-wisconsin-00591,student,"array([0.71846073, 3.61119198])"
130,url-course-wisconsin-00219,course,"array([0.95669139, 3.47149556])"
131,url-student-wisconsin-00718,student,"array([1.08631849, 3.48125849])"
132,url-course-wisconsin-00221,course,"array([0.3918586 , 3.34223116])"
133,url-faculty-wisconsin-00384,faculty,"array([0.50262515, 3.36645114])"
134,url-student-wisconsin-00592,student,"array([0.22722711, 3.30142365])"
135,url-course-wisconsin-00222,course,"array([1.01537738, 2.96419173])"
136,url-course-wisconsin-00223,course,"array([0.81638148, 3.67644276])"
137,url-project-wisconsin-00440,project,"array([0.77711774, 3.76724947])"
138,url-student-wisconsin-00578,student,"array([0.87060706, 3.80781651])"
139,url-course-wisconsin-00225,course,"array([0.70625859, 3.66509082])"
140,url-faculty-wisconsin-00414,faculty,"array([0.61311007, 3.68069247])"
141,url-student-wisconsin-00600,student,"array([0.71206477, 3.78139333])"
142,url-course-wisconsin-00226,course,"array([0.66791629, 3.75593175])"
143,url-faculty-wisconsin-00419,faculty,"array([0.64245742, 3.87499111])"
144,url-faculty-wisconsin-00397,faculty,"array([0.73192829, 3.74066571])"
145,url-student-wisconsin-00683,student,"array([0.64201855, 3.57461547])"
146,url-course-wisconsin-00229,course,"array([0.43242571, 4.12496516])"
147,url-student-wisconsin-00606,student,"array([0.40061298, 4.20428855])"
148,url-course-wisconsin-00230,course,"array([0.20990723, 2.85062107])"
149,url-faculty-wisconsin-00408,faculty,"array([0.27411714, 2.91309233])"
150,url-course-wisconsin-00231,course,"array([0.4247844 , 2.27136427])"
151,url-faculty-wisconsin-00398,faculty,"array([0.48061831, 2.26194833])"
152,url-course-wisconsin-00233,course,"array([1.09823277, 3.40425219])"
153,url-department-wisconsin-01465,department,"array([1.01734236, 3.38342977])"
154,url-faculty-wisconsin-00412,faculty,"array([0.94181067, 3.51703502])"
155,url-student-wisconsin-00643,student,"array([1.20702446, 3.41472923])"
156,url-course-wisconsin-00236,course,"array([0.69542248, 3.52104029])"
157,url-course-wisconsin-00238,course,"array([0.98698561, 3.57140467])"
158,url-department-wisconsin-01460,department,"array([0.86902758, 3.39367507])"
159,url-department-wisconsin-01477,department,"array([0.73014816, 3.48980426])"
160,url-department-wisconsin-01483,department,"array([0.51977471, 3.4857423 ])"
161,url-faculty-wisconsin-00380,faculty,"array([0.6225835 , 3.28721425])"
162,url-faculty-wisconsin-00382,faculty,"array([0.49613455, 3.30383911])"
163,url-project-wisconsin-00447,project,"array([0.57091028, 3.3057829 ])"
164,url-staff-wisconsin-00542,staff,"array([0.54512685, 3.68713548])"
165,url-staff-wisconsin-00544,staff,"array([0.55311335, 3.62639706])"
166,url-staff-wisconsin-00565,staff,"array([0.75315434, 3.26602559])"
167,url-student-wisconsin-00572,student,"array([0.61701915, 3.32969582])"
168,url-student-wisconsin-00587,student,"array([0.55603497, 3.55424631])"
169,url-student-wisconsin-00607,student,"array([0.61255753, 3.51455115])"
170,url-student-wisconsin-00611,student,"array([0.64973345, 3.49607248])"
171,url-student-wisconsin-00614,student,"array([0.68963533, 3.4704691 ])"
172,url-student-wisconsin-00620,student,"array([0.60164641, 3.42216858])"
173,url-student-wisconsin-00627,student,"array([0.83288674, 3.40679252])"
174,url-student-wisconsin-00632,student,"array([0.59651503, 3.46830878])"
175,url-student-wisconsin-00635,student,"array([0.85290782, 3.31966459])"
176,url-student-wisconsin-00676,student,"array([0.79244243, 3.51010524])"
177,url-student-wisconsin-00681,student,"array([0.74882943, 3.21778998])"
178,url-student-wisconsin-00693,student,"array([0.54869001, 3.39084529])"
179,url-student-wisconsin-00702,student,"array([0.73016992, 3.55930479])"
180,url-student-wisconsin-00707,student,"array([0.58769459, 3.5874107 ])"
181,url-student-wisconsin-00711,student,"array([0.56061785, 3.42842872])"
182,url-student-wisconsin-00721,student,"array([0.65453058, 3.53839226])"
183,url-department-wisconsin-01472,department,"array([0.78138934, 3.36370877])"
184,url-department-wisconsin-01473,department,"array([0.75450804, 3.31337595])"
185,url-department-wisconsin-01474,department,"array([0.7522665 , 3.38020813])"
186,url-department-wisconsin-01475,department,"array([0.7206096 , 3.32514636])"
187,url-department-wisconsin-01476,department,"array([0.72706833, 3.37465284])"
188,url-department-wisconsin-01484,department,"array([0.74595735, 3.35372228])"
189,url-department-wisconsin-01485,department,"array([0.72600128, 3.35348978])"
190,url-department-wisconsin-01486,department,"array([0.69427868, 3.35882756])"
191,url-department-wisconsin-01487,department,"array([0.79942643, 3.38684195])"
192,url-department-wisconsin-01488,department,"array([0.78019959, 3.33636872])"
193,url-department-wisconsin-01489,department,"array([0.80944182, 3.35172912])"
194,url-department-wisconsin-01455,department,"array([0.68879859, 3.3884219 ])"
195,url-department-wisconsin-01470,department,"array([0.77053858, 3.41539654])"
196,url-department-wisconsin-01471,department,"array([0.725429  , 3.43506364])"
197,url-department-wisconsin-01490,department,"array([0.6980235 , 3.41778276])"
198,url-department-wisconsin-01456,department,"array([0.61901391, 3.81002766])"
199,url-department-wisconsin-01457,department,"array([0.09118861, 3.28767699])"
200,url-department-wisconsin-01480,department,"array([-0.00358197,  3.27010199])"
201,url-department-wisconsin-01458,department,"array([0.64291263, 3.21990935])"
202,url-faculty-wisconsin-00381,faculty,"array([0.69234407, 3.29188745])"
203,url-department-wisconsin-01459,department,"array([1.01605148, 3.787433  ])"
204,url-project-wisconsin-00443,project,"array([0.95409808, 3.66640644])"
205,url-staff-wisconsin-00543,staff,"array([0.87861988, 3.27563025])"
206,url-student-wisconsin-00613,student,"array([0.97319294, 3.39515016])"
207,url-department-wisconsin-01461,department,"array([1.01861455, 3.48016128])"
208,url-student-wisconsin-00703,student,"array([0.90494038, 3.45896034])"
209,url-department-wisconsin-01462,department,"array([0.31860178, 3.34636947])"
210,url-department-wisconsin-01463,department,"array([0.94481083, 2.28464526])"
211,url-student-wisconsin-00602,student,"array([0.99932296, 2.29937019])"
212,url-department-wisconsin-01464,department,"array([0.36500389, 2.91683381])"
